"Rk","Tm","Player","College","MP_T","VORP","Year"
1,"SAC","Pervis Ellison","University of Louisville",11593,7.4,1989
2,"LAC","Danny Ferry","Duke University",18133,5,1989
3,"SAS","Sean Elliott","University of Arizona",24502,16.1,1989
4,"MIA","Glen Rice","University of Michigan",34985,22.1,1989
5,"CHH","J.R. Reid","University of North Carolina",15370,-0.2,1989
6,"CHI","Stacey King","University of Oklahoma",7406,-1.9,1989
7,"IND","George McCloud","Florida State University",17429,5.6,1989
8,"DAL","Randy White","Louisiana Tech University",5382,-3.3,1989
9,"WSB","Tom Hammonds","Georgia Institute of Technology",10419,-6,1989
10,"MIN","Pooh Richardson","University of California, Los Angeles",19399,5.5,1989
11,"ORL","Nick Anderson","University of Illinois at Urbana-Champaign",24922,23.5,1989
12,"NJN","Mookie Blaylock","University of Oklahoma",31026,38.9,1989
13,"BOS","Michael Smith","Brigham Young University",1328,-0.7,1989
14,"GSW","Tim Hardaway","University of Texas at El Paso",30626,34.6,1989
15,"DEN","Todd Lichti","Stanford University",4240,-0.8,1989
16,"SEA","Dana Barros","Boston College",19480,10.6,1989
17,"SEA","Shawn Kemp","Trinity Valley Community College",29293,27.3,1989
18,"CHI","B.J. Armstrong","University of Iowa",17790,1.9,1989
19,"PHI","Kenny Payne","University of Louisville",1167,-1.3,1989
20,"CHI","Jeff Sanders","Georgia Southern University",462,-0.4,1989
21,"UTA","Blue Edwards","East Carolina University",18409,5.7,1989
22,"POR","Byron Irvin","University of Missouri",849,0.2,1989
23,"ATL","Roy Marble","University of Iowa",194,-0.3,1989
24,"PHO","Anthony Cook","University of Arizona",1499,-0.8,1989
25,"CLE","John Morton","Seton Hall University",1879,-1.3,1989
26,"LAL","Vlade Divac","International",33838,45.3,1989
27,"DET","Kenny Battle","University of Illinois at Urbana-Champaign",1795,0.9,1989
28,"MIA","Sherman Douglas","Syracuse University",21148,2.6,1989
29,"CHH","Dyron Nix","University of Tennessee",109,-0.2,1989
30,"MIL","Frank Kornet","Vanderbilt University",595,-0.6,1989
31,"LAC","Jeff Martin","Murray State University",2685,-1.2,1989
32,"NJN","Stanley Brundy","DePaul University",128,0,1989
33,"LAC","Jay Edwards","Indiana University",26,0,1989
34,"MIN","Gary Leonard","University of Missouri",149,-0.2,1989
35,"DAL","Pat Durham","Colorado State University",930,-0.2,1989
36,"POR","Clifford Robinson","University of Connecticut",42561,28.7,1989
37,"ORL","Michael Ansley","University of Alabama",2143,0.5,1989
38,"MIN","Doug West","Villanova University",16649,-2.2,1989
39,"WSB","Ed Horton","University of Iowa",374,-0.2,1989
40,"BOS","Dino Radja","International",7308,2.3,1989
41,"WSB","Doug Roth","University of Tennessee",412,-0.2,1989
42,"DEN","Michael Cutright","McNeese State University",NA,NA,1989
43,"CLE","Chucky Brown","North Carolina State University",11962,-3,1989
44,"PHI","Reggie Cross","University of Hawaii",NA,NA,1989
45,"MIA","Scott Haffner","University of Evansville",609,-0.7,1989
46,"PHO","Ricky Blanton","Louisiana State University",13,0,1989
47,"DEN","Reggie Turner","University of Alabama at Birmingham",NA,NA,1989
48,"UTA","Junie Lewis","University of South Alabama",NA,NA,1989
49,"ATL","Haywoode Workman","Oral Roberts University",7202,1.5,1989
50,"NYK","Brian Quinnett","Washington State University",1530,-0.7,1989
51,"PHO","Mike Morrison","Loyola College in Maryland",153,-0.3,1989
52,"PHO","Greg Grant","Trenton State University",3350,-3,1989
53,"DAL","Jeff Hodge","University of South Alabama",NA,NA,1989
